pbTrophies,kingLevel,cardLevels,warDayWins,winRate,maxChallengeWins,opponentTrophies,opponentKingLevel,maxOpponentChallengeWins,opponentCardLevels,opponentWinRate,winning
6348,13,11.09473684,182,0.517662229,12,5531,12,9,9.936842105,0.505100246,1
6165,13,11.6,167,0.546251802,12,6009,13,10,9.79787234,0.51379845,1
5910,13,10.73684211,166,0.512222534,10,7014,13,12,10.87368421,0.587204349,0
6190,13,11.47368421,168,0.524918608,12,6088,13,15,10.6,0.587823381,1
6620,13,10.88421053,209,0.568329206,12,6607,13,12,11.4,0.520620738,1
6131,13,12.43157895,114,0.542584341,10,6008,13,12,9.926315789,0.560933017,1
5932,13,10.90526316,215,0.581635666,15,5677,12,10,9.021276596,0.512114867,1
6003,13,10.12631579,170,0.507079434,9,6285,13,12,10.95789474,0.554137171,1
6116,13,10.75789474,161,0.570947571,15,6841,13,15,12.05263158,0.570888027,1
5901,13,11.81052632,198,0.510431829,12,6019,13,10,8.840425532,0.563420933,1
6281,13,11.51578947,222,0.590909091,12,5883,12,10,8.347368421,0.507510136,1
6112,13,9.936170213,130,0.539013102,12,5785,13,12,11.43617021,0.524162328,0
5869,12,10.22105263,163,0.700876552,12,5520,12,9,10.45744681,0.49042735,1
7965,13,12.52631579,253,0.635000701,20,5706,13,10,9.914893617,0.551869501,1
6631,13,11.92631579,236,0.534770733,15,5900,13,12,9.712765957,0.519703954,1
6675,13,11.46315789,189,0.551381469,16,6325,13,12,12.97894737,0.525998468,0
7074,13,11.31914894,199,0.537474042,19,5983,13,12,11.08421053,0.551980431,1
6484,13,10.35106383,173,0.534148949,10,5263,11,15,8.680851064,0.642023346,1
7941,13,12.10526316,125,0.580167575,20,6301,13,15,9.431578947,0.521459566,0
6417,13,11.09473684,172,0.532495195,12,6707,13,12,11.32631579,0.528349471,0
6452,13,10.96842105,174,0.551404774,15,5627,11,11,8.234042553,0.541905542,1
6655,13,11.18947368,204,0.622465753,13,6007,13,12,11.32978723,0.520509908,0
6601,13,10.58947368,169,0.551886271,13,5656,11,9,9.757894737,0.531594784,1
6418,13,10.68085106,195,0.52752034,11,6303,13,20,11.08421053,0.585746302,1
6523,13,10.70526316,122,0.53106219,12,5902,13,11,11.6,0.518440173,1
6509,13,11.25263158,198,0.543665145,12,5859,12,9,8.936170213,0.491525424,1
6757,13,11.88421053,167,0.568045379,13,6061,13,12,10.38947368,0.571816024,1
6241,13,11.21052632,125,0.568197634,15,5528,13,10,10.22105263,0.533977234,1
6601,13,12.30526316,220,0.583430513,17,5766,12,12,10,0.550620509,1
6025,13,10.75789474,183,0.607461024,12,5912,13,10,11.41052632,0.553143374,1
